dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,17.8,9.2,6.2,3.8,6.1,12.2,,10.6,12.5,9.0,7.0,8.0 
2,21.2,6.5,4.3,2.6,7.2,7.5,7.0,9.7,12.0,12.7,7.6,7.2 
3,19.8,14.3,7.8,7.0,4.2,5.5,10.8,9.2,11.5,12.5,8.3,6.8 
4,12.1,7.5,9.4,3.8,5.0,5.1,16.3,3.8,8.8,10.7,9.9,19.7 
5,13.3,8.0,9.4,3.3,8.0,3.3,11.6,2.9,6.8,6.3,12.5,14.0 
6,22.8,7.3,3.4,3.8,9.3,4.1,10.0,4.3,8.7,4.0,13.9,6.1 
7,3.8,13.4,4.4,4.6,9.9,6.3,9.3,5.3,7.4,4.4,16.3,7.9 
8,10.5,8.4,9.8,7.5,9.9,6.1,8.5,6.3,6.7,5.0,7.4,8.8 
9,24.7,10.5,15.6,8.3,15.6,5.1,9.8,8.3,5.8,6.3,5.2,5.5 
10,16.5,11.6,8.6,6.4,13.0,2.9,15.9,10.1,9.2,8.0,7.8,20.8 
11,11.7,6.9,8.8,3.4,9.0,5.9,17.5,10.6,13.8,8.8,14.6,18.4 
12,10.4,5.7,8.9,5.9,10.8,11.0,22.4,5.5,12.0,6.7,16.8,7.2 
13,10.0,4.3,5.7,3.3,9.4,11.5,14.8,10.0,10.1,6.0,14.6,3.1 
14,14.6,4.9,5.5,3.2,9.2,16.5,11.6,8.6,8.8,5.9,11.3,14.3 
15,12.8,4.1,5.2,7.0,9.8,12.0,11.0,8.8,6.4,7.5,18.9,19.4 
16,10.8,4.8,3.2,5.0,12.0,7.1,7.2,11.9,4.4,6.0,29.5,26.8 
17,14.2,12.3,4.0,5.4,12.1,9.0,4.0,6.2,9.0,10.6,10.2,13.2 
18,11.7,9.8,2.9,6.9,14.0,9.8,3.6,5.5,8.0,8.9,6.5,6.7 
19,27.6,5.8,5.8,5.0,15.8,7.0,3.8,5.3,8.9,6.6,8.6,6.0 
20,34.0,8.1,9.5,3.4,12.2,6.5,6.2,7.8,10.9,5.8,11.4,18.3 
21,6.0,8.9,7.9,7.1,8.1,12.8,7.6,7.8,10.5,5.7,8.7,17.1 
22,9.7,11.1,3.6,8.0,6.7,6.5,8.3,9.8,10.4,3.0,5.2,9.2 
23,6.3,4.8,5.8,4.5,7.0,3.7,10.6,7.9,9.3,2.7,8.3,8.2 
24,8.4,6.3,3.2,3.5,5.7,4.7,8.1,10.0,8.0,5.7,9.5,6.1 
25,11.0,4.3,2.8,4.4,4.7,5.1,7.8,8.3,8.9,5.4,10.5,11.8 
26,14.0,3.9,4.4,3.6,8.1,14.1,5.0,5.7,15.8,14.8,19.6,8.8 
27,4.1,6.3,4.9,4.9,8.1,7.0,3.8,5.8,16.6,13.5,21.8, 
28,7.0,7.0,6.9,3.8,4.8,7.9,6.5,4.6,12.3,12.3,28.0, 
29,11.0,9.0,11.8,4.9,8.5,,7.4,7.4,8.8,,12.0,5.8 
30,17.2,,6.7,8.1,11.5,,10.2,10.3,10.0,8.3,7.8,6.0 
31,16.8,,6.0,,13.3,,10.6,12.0,,,,5.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:01:47
  
