dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,3.3,10,3.7,3.3,6.6,4,8,7.4,10.9,8.5,28.6,9
2,5,7.4,2.1,6,8,3.8,10.2,14.3,11,8.9,25,8.3
3,5,10.1,2.3,2,14,2.5,9.5,14,4.1,5.3,7.5,8.1
4,5.8,5.4,6.4,2.5,11.8,3,10,6.7,4.3,5.7,11,12
5,8,3.4,8.4,2,10,4.5,8.3,5,8.4,9,6.2,21.4
6,9.3,4.8,3,4.4,9,6.1,5.6,9,7.7,7.2,6.2,9.5
7,2.9,6,4.5,6.1,9.4,8,8,3.7,11.5,8.9,7.8,36
8,4,13.6,2.3,4,7,8.1,8.5,6.7,11,6,0.4,16.2
9,4.6,8.4,3,1,4.5,9.6,8.7,13,5.1,8.7,1.6,1.3
10,14.3,12,1.2,1,4.4,12,8,8.8,6,2.4,5,5
11,25.1,9.5,2.1,4,11,6.3,5.8,7.8,18,12,3.4,12
12,10.6,7.1,5,2.3,12.2,3.4,4.1,12,24.1,9,5.6,13
13,34.3,8,4.4,0.8,13.4,3.8,6.3,10.9,13.2,8.6,16,20.7
14,3.8,2.5,3.4,3,9,5,5.2,7.6,12,10,5.1,8.4
15,1,2.7,4.5,0.2,8.9,2.6,6.6,8,3.5,5.5,9.4,1.3
16,3.2,10,4.6,0.5,13,4,9,7.6,7.7,4.4,6,6
17,17.4,6.4,2,1,12,2.7,9,6,11.7,4,10,10.4
18,9.7,,2.1,0.7,7,11.2,10.8,10,11.3,3.9,7.4,1.8
19,2.4,6,3,1.3,5.4,12,11,8,8.8,13,16,29
20,9,,5.5,6,4,9,9.9,11.7,8.1,15,16.7,30.3
21,8.9,,4,3.6,2.6,4.2,8.5,8,10.1,2.1,13.3,40.6
22,3.7,18,12.8,8.4,3.1,7,9,8.5,78.5,3.9,5.5,10
23,10.6,23.2,13.2,6,5,9,8.1,8.6,6,15,1.2,20.1
24,30.3,24,5.8,3.6,6.1,7.8,7.2,11,10.3,9.2,5.5,25.3
25,17.3,36,3.9,3.3,6,8,12,5.6,14.3,12.9,15,41
26,4.3,23.4,4.5,8,4,7.2,14.6,4.3,15,9,6.6,24
27,5.3,5.1,7.6,8.5,1.4,5.9,8.3,7,16,7.6,5,2.1
28,9.8,4,4.9,10.7,1.7,7,7,5.9,13.6,13.3,5,5.8
29,9,,1.7,7,4,6.2,2.7,4.5,11,13.4,3.5,11.3
30,8,,4,5.3,3.1,3.7,2.7,12,9.7,10,10.6,23.8
31,3.1,,0.8,,5.4,,6,4.3,,13.6,,44
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
