dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,9.8,25.5,5.0,4.1,4.4,7.6,5.7,11.8,6.3,4.6,12.5,7.7 
2,62.2,37.0,1.4,4.0,4.0,6.0,5.4,8.8,5.4,4.3,9.3,8.1 
3,23.0,26.8,4.5,6.1,3.0,9.1,7.5,8.5,6.0,7.7,11.8,6.0 
4,0.5,17.1,8.0,6.9,3.2,2.4,8.3,7.0,2.1,4.5,8.3,5.2 
5,2.0,19.0,5.0,6.4,4.3,3.9,16.8,8.5,27.5,3.7,9.4,2.3 
6,7.0,21.8,6.7,6.9,5.8,2.7,13.1,6.7,20.2,3.5,13.0,16.8 
7,4.4,12.8,5.0,2.4,4.8,9.1,10.8,5.8,9.8,5.3,8.5,1.1 
8,21.4,19.1,1.7,4.8,5.6,9.9,13.9,8.8,13.5,9.0,15.0,1.7 
9,42.0,15.4,,4.9,4.8,8.7,10.0,5.3,9.3,5.5,9.8,1.8 
10,13.6,6.4,6.0,4.0,8.6,5.3,8.1,10.0,11.8,4.8,11.8,7.1 
11,1.5,2.6,,4.9,10.9,9.0,5.0,6.3,12.0,4.6,5.9,7.7 
12,3.0,2.4,,3.5,9.0,10.9,3.8,6.4,8.5,5.6,7.5,11.7 
13,5.6,1.3,10.8,5.7,10.2,8.8,5.7,5.8,8.0,5.4,7.1,17.7 
14,10.5,7.0,8.3,5.4,12.7,6.3,4.2,5.9,8.3,14.3,6.9,39.5 
15,11.0,1.5,6.2,14.4,11.1,7.7,4.2,4.0,5.5,4.2,18.2,38.5 
16,26.3,1.7,12.1,5.5,11.5,11.3,6.4,8.0,9.6,4.9,7.2,30.6 
17,7.1,11.0,11.0,5.3,8.2,8.9,5.3,3.5,11.0,4.5,9.7,36.6 
18,17.0,4.8,4.4,2.8,7.8,13.5,3.2,3.6,10.5,7.5,6.1,8.3 
19,35.0,0.1,3.2,3.4,7.2,12.5,4.4,2.6,8.0,4.7,8.0,4.2 
20,15.9,4.0,2.8,4.3,4.9,8.7,4.8,3.0,7.4,3.5,3.8,2.9 
21,5.0,1.8,3.4,4.0,5.0,9.0,4.9,5.8,7.9,12.8,5.3,1.5 
22,18.5,0.5,4.1,2.8,7.2,9.8,5.9,9.3,8.0,5.6,3.8,8.2 
23,26.9,2.0,9.7,1.7,5.5,7.7,9.4,11.4,6.1,7.6,3.1,5.5 
24,36.0,2.0,7.4,5.2,9.7,5.4,9.3,7.6,5.7,10.7,17.1,17.8 
25,14.3,2.3,2.0,5.9,11.3,6.1,11.5,7.3,4.7,9.7,20.8,1.7 
26,21.0,3.0,2.8,6.5,9.5,11.2,13.0,4.7,6.3,7.7,20.8,6.5 
27,35.0,0.8,5.3,11.3,7.2,11.6,11.8,5.5,9.0,12.3,17.9,1.3 
28,31.3,0.9,8.0,10.8,18.3,4.0,8.5,8.6,7.0,19.8,8.2,13.0 
29,14.3,,5.9,8.3,14.8,4.5,6.0,6.1,5.0,13.4,9.2,18.9 
30,12.0,,12.9,9.9,9.1,5.5,12.2,7.5,5.6,15.1,10.4,5.7 
31,17.7,,8.5,,8.0,,12.7,7.5,,15.8,,7.7
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:03:26
  
