dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,,4,,,,,7,10.1,12.2,4.6,24.5
2,,1,,,,13,6,,14,12.5,7.8,7
3,6,,,2,5,,,,12,14.9,8.5,6
4,,,4,,,,,3,10,16.7,10.7,29.1
5,,3,,,,9,11,,7.3,13.7,14.4,36.1
6,18,,,1,7,,,,6,14.9,31.8,26.7
7,,,7,,,,,6,5.2,10.6,37.8,1.6
8,,5,,,,5,8,,4,8.6,15.5,5
9,24,,,5,3,,,,3.8,7.1,6.2,21.8
10,,,8,,,,,5,3,6.8,5,2.3
11,,,,,,8,7,,5.3,4.5,8,1.6
12,30,18,,3,6,,,,4.5,9,16.1,14.7
13,,,3,,,,,7,4.6,4.9,41.7,22.9
14,,12,,,,5,8,,4.3,11.1,25,3.9
15,9,,,3,7,,,8.3,11.2,7.7,4,6
16,,,3,,,,,9,9.3,10,6.8,5.8
17,,5,,,,12,11,9.8,5.7,10,6,10.8
18,20,,,6,5,,,7,5.7,11,10.7,19
19,,,4,,,,,6,9.8,6.7,26.7,12
20,,2,,,,6,13,7.1,12.8,11.7,28.1,12
21,11,,,3,7,,,8.1,12,13,6.6,3.5
22,,,1,,,,,5,9.7,7.3,3.8,8.8
23,,5,,,,8,10,6.1,17,5.7,16,8
24,7,,,3,6,,,7.6,14.3,8,21.4, 
25,,,4,,,,,9,12,8.3,14.2, 
26,,5,,,,7,11,7.8,17.7,3.9,11.7,8
27,20,,,4,7,,,8.4,14.8,10,27, 
28,,,3,,,,,6.8,10.8,14.3,20, 
29,,,,,,5,,10,10.9,11.3,8, 
30,14,,,2,5,,,10.6,15.8,4.4,15.5, 
31,,,5,,,,,11,,4.3,,
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
