dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,26.0,12.0,,3.5,3.5,4.2,10.0,10.4,6.6,,, 
2,9.6,4.1,,7.0,3.3,4.4,8.3,7.7,12.2,,4.2, 
3,9.2,8.3,1.0,5.5,5.5,2.5,7.0,9.1,10.2,,18.8, 
4,15.4,34.1,,5.1,3.8,3.3,7.3,9.3,6.9,,8.0,26.7 
5,13.9,7.5,,3.3,7.3,2.0,15.3,7.9,6.3,5.3,3.4, 
6,28.9,4.8,,2.7,3.8,2.4,9.9,7.1,5.6,,4.6, 
7,19.3,5.8,,2.9,5.0,5.4,9.5,8.7,9.9,,7.4, 
8,20.7,4.3,,7.0,4.6,7.2,7.8,8.3,4.3,,4.6, 
9,7.5,4.2,4.1,3.3,2.8,4.0,12.6,6.7,8.0,,4.2,13.9 
10,8.0,3.0,3.3,9.6,2.8,2.5,9.6,8.5,6.8,,6.5,24.1 
11,13.0,,7.0,10.4,2.8,9.0,7.9,5.3,8.0,7.3,4.5,16.0 
12,15.2,,7.9,5.3,3.9,3.5,7.1,7.5,8.4,,8.9,11.5 
13,5.7,4.5,1.8,5.4,,6.4,9.3,7.1,7.6,,5.3,14.1 
14,3.9,,2.2,6.6,6.8,38.7,7.3,5.9,,,2.0,12.3 
15,15.8,,8.5,5.1,,14.0,8.2,6.8,,,4.7,2.8 
16,23.3,,9.8,5.5,,5.4,11.5,7.4,,,6.0,7.8 
17,21.4,,6.3,,,8.0,14.1,6.8,2.4,5.6,7.4,9.5 
18,8.8,19.5,4.8,,,10.8,12.5,5.5,,,,3.4 
19,12.6,16.1,5.6,,,5.9,15.5,9.1,,,,0.6 
20,10.5,8.9,9.4,1.0,2.6,4.9,17.5,8.5,,,,4.0 
21,2.8,4.5,6.8,3.0,3.0,5.9,13.8,6.2,,,,8.3 
22,4.6,6.4,6.5,8.2,3.9,9.3,12.4,8.3,,,2.8,4.8 
23,8.0,15.0,4.7,11.1,2.3,8.9,11.8,9.3,7.3,3.0,,5.3 
24,7.8,8.7,7.2,9.9,2.5,8.4,9.7,10.3,,,,14.5 
25,12.9,6.7,2.9,7.7,2.3,7.5,6.4,11.2,,,,13.9 
26,8.8,,2.5,7.3,2.3,9.2,8.3,9.9,,,,4.4 
27,3.6,,6.2,4.4,4.3,11.6,8.7,10.7,,,,3.5 
28,14.9,,8.0,3.2,3.3,13.1,7.5,8.0,,,3.8,13.4 
29,19.3,,5.8,2.5,2.0,21.7,6.1,8.2,7.5,3.7,,3.8 
30,5.7,,3.5,2.3,3.8,10.3,8.1,6.6,,,,3.5 
31,6.3,,2.7,,3.5,,9.9,4.8,,,,6.8
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:02:29
  
