dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,18.1,11.3,8.3,7.3,9.1,8.5,10,18.5,19,7.4,12, 
2,17.4,15.9,3.8,7.7,12.5,8.3,13.5,19.8,16.5,5.7,14.2, 
3,27.8,13.8,4.7,6.4,10,8.5,17.6,25.6,19.7,4.2,4, 
4,29.6,24.5,5.5,8.5,8.3,7.5,17.1,30,17.4,3.7,5.6, 
5,19.3,13.8,6.2,6.7,7.5,9.4,12.5,13.7,14.2,5,4.4, 
6,2.8,3,6.3,5.5,6.1,9.4,8.9,33.8,7.2,3.7,4.8, 
7,5.3,12.1,8.6,8,6.8,9,7.2,16.1,7,4.4,8.7, 
8,4.5,16.5,6.3,6.6,7.8,9.4,7.4,29.6,4,5.2,19.5, 
9,1.7,12.3,9.9,7.9,5,3.3,7.2,33.8,4,7.2,15.2, 
10,7.2,8.6,9.5,8.7,8.2,3.3,5.7,20.2,7.8,6,90.3, 
11,15.3,4.4,8.2,7.4,9.9,5.6,9.6,7.3,13,10.5,37.6, 
12,11.5,3.5,13.3,8.8,6.7,7.7,8.9,13.9,8.5,4.1,89.6, 
13,16,3.9,6.8,6.8,9.2,14,6.3,22.3,6.1,5.8,82, 
14,19.4,8.5,6.4,10,5,11.8,6.2,11.1,5.5,5,, 
15,15.4,4.6,10.3,10.1,5.2,13.7,7.1,14.8,3.9,2.9,, 
16,17.7,9.3,9,6,5.1,11.3,8,19.3,3.7,10.2,, 
17,12.8,12,8.3,9.3,5.8,10.6,7.3,14,4.5,13.6,, 
18,25.4,5.2,10,8,6.7,9,9.2,17.5,6.4,14.7,, 
19,7.3,3.9,10.5,6.5,8.7,9.6,8.8,18.8,10,16.5,, 
20,6.3,2.7,13.3,9.3,8.2,6.1,10.3,29,10.3,15.5,, 
21,11,5.5,16.6,13.2,9.1,7.3,7.8,17.6,11.1,12.7,, 
22,14.8,4.3,4.4,14.3,9.8,9.2,10,19.2,9.8,10.8,, 
23,6.4,4.6,3.8,13.9,4.9,5.8,8.3,25.4,6.7,7.8,, 
24,14,6.2,2.3,17.4,4.3,6.7,9.5,24,8.3,9.7,, 
25,5.9,6.4,1.9,13,3.9,7.6,12.9,24.2,9.7,11,, 
26,10,5.4,0.7,13,3.9,10.9,12.9,15.8,11.8,8.5,, 
27,11.8,2.3,2.3,11.5,6.4,12.6,13.7,15.7,11.3,8.7,, 
28,10.1,9.9,3.7,11.8,6.3,14,16.5,10.5,8,2.4,, 
29,16.2,,4.5,7.2,11,6.8,14.7,11.3,5.9,3,, 
30,12.1,,,10.7,13,5.9,16.8,19.3,4.4,3.6,, 
31,11.9,,9.2,,8.4,,19.9,8.5,,3.8,,
 ,,,,,,,,,,,,
