dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,5.0,7.3,8.5,14.9,5.6,6.7,10.2,4.1,11.0,5.0,16.1,15.1 
2,10.3,28.8,6.0,11.8,6.4,7.3,15.9,8.0,8.0,3.0,5.9,2.4 
3,5.6,46.1,9.3,10.0,5.7,10.0,25.4,12.3,5.8,2.3,5.9,5.0 
4,10.6,59.6,8.7,7.8,5.0,12.2,18.8,11.0,8.0,1.7,5.9,8.0 
5,23.7,21.6,8.6,8.7,5.3,8.5,15.3,8.0,4.9,7.0,6.5,7.8 
6,19.5,5.8,17.5,11.3,4.5,5.0,7.0,6.1,8.1,6.0,4.7,23.0 
7,10.0,6.2,14.1,4.8,3.4,,6.5,9.8,10.0,9.0,14.6,30.9 
8,4.2,11.5,23.2,5.2,4.5,,4.6,11.0,4.3,6.8,3.7,21.3 
9,5.3,8.0,27.4,5.6,3.5,,3.0,10.1,3.7,4.8,5.3,5.0 
10,11.0,8.2,8.7,7.3,5.2,,1.6,10.8,7.0,7.0,10.7,30.4 
11,4.0,7.6,7.0,7.5,5.0,,3.0,14.3,6.2,9.7,8.2,23.2 
12,8.5,19.4,15.8,6.7,7.5,3.0,7.0,17.5,6.5,11.8,7.0,24.0 
13,15.4,15.3,11.6,4.5,8.6,,9.4,15.8,7.0,16.0,7.9,21.1 
14,18.8,15.4,11.9,5.3,8.0,,18.0,10.5,6.2,12.6,4.7,19.9 
15,31.8,12.4,8.3,5.7,2.3,8.0,10.4,9.7,7.3,5.9,4.0,23.0 
16,26.0,7.7,14.5,8.0,6.0,,10.5,11.6,5.3,4.9,6.3,38.0 
17,22.0,4.8,11.4,4.7,6.4,,11.2,9.6,5.0,7.2,9.2,23.7 
18,19.6,9.7,14.2,4.4,7.0,6.0,11.0,2.4,2.8,9.1,14.0,4.0 
19,17.0,7.9,10.8,4.8,4.2,,5.9,2.5,11.0,11.4,9.7,5.8 
20,9.5,4.8,6.4,5.9,4.9,,6.9,6.0,6.5,15.1,13.0,17.5 
21,13.8,4.1,6.7,9.5,5.8,4.0,7.7,4.5,11.4,12.9,19.0,22.0 
22,15.5,4.4,5.3,11.8,5.9,6.5,7.3,7.1,11.0,13.7,8.2,15.4 
23,10.0,8.8,6.5,6.7,8.6,7.6,8.0,10.0,7.6,10.0,8.4,6.8 
24,16.3,11.8,8.8,6.1,7.7,7.0,11.1,11.6,3.2,10.5,18.0,11.1 
25,27.4,17.4,9.5,8.2,11.5,5.5,12.1,11.7,8.0,6.0,14.2,11.5 
26,18.3,20.0,10.9,8.4,12.4,3.7,12.3,13.0,6.2,7.1,5.0,6.4 
27,10.7,21.1,14.1,6.7,11.8,4.0,12.8,6.6,9.9,8.0,5.3,7.3 
28,6.7,,6.3,5.6,10.5,5.8,8.0,3.4,11.0,11.8,16.5,8.3 
29,7.8,,7.4,7.2,9.8,12.6,8.8,8.0,11.4,8.9,13.3,4.4 
30,8.9,,9.6,6.7,8.5,9.0,10.0,7.0,13.1,5.0,9.0,14.0 
31,24.1,,8.3,,14.2,,9.6,3.3,,10.0,,5.5
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:04:02
  
