dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,20.1,10.6,7.6,4.2,7.5,7.0,16.3,3.4,7.8,5.0,11.9,15.5 
2,19.0,15.6,4.5,3.0,5.4,6.0,15.0,2.3,8.7,7.6,15.2,12.3 
3,5.3,10.8,3.1,4.8,5.2,8.3,11.0,3.7,4.5,4.8,10.0,18.1 
4,7.4,12.2,3.9,4.6,3.1,7.9,10.2,2.0,6.1,3.7,8.6,36.5 
5,17.4,7.2,4.3,8.8,3.0,4.8,8.1,3.0,4.2,8.1,6.0,17.4 
6,15.3,12.4,4.4,7.2,3.0,6.2,8.6,3.3,2.9,8.5,5.2,5.3 
7,22.4,7.3,3.7,6.0,5.0,6.8,11.4,7.3,5.0,7.2,5.2,6.0 
8,16.4,5.1,6.1,3.2,4.5,8.9,10.8,12.0,7.9,9.4,5.3,10.5 
9,5.9,3.3,,7.9,6.8,6.4,10.8,19.2,10.2,10.0,12.7,27.4 
10,18.8,6.0,,3.5,6.5,6.8,11.2,19.0,9.0,10.4,8.2,22.2 
11,21.3,7.0,,4.3,8.3,6.3,11.2,6.2,9.6,7.5,11.5,9.1 
12,32.0,7.0,,3.6,6.4,7.0,8.7,3.7,5.2,9.8,6.3,8.6 
13,31.9,3.3,6.4,5.3,4.3,5.0,10.4,4.5,2.9,4.3,3.8,3.4 
14,20.0,4.2,4.3,6.2,5.3,5.8,10.2,6.4,3.5,5.7,6.0,10.0 
15,18.2,4.6,1.8,2.9,5.5,6.5,15.3,9.5,4.1,5.9,6.9,17.9 
16,30.0,4.1,2.8,4.5,8.8,9.0,13.4,9.3,4.5,3.8,14.2,19.0 
17,27.2,3.5,4.3,4.9,11.0,11.6,11.4,13.6,5.5,9.5,16.0,4.5 
18,8.9,8.3,7.3,5.7,11.8,10.8,9.7,8.1,9.7,2.9,6.1,10.1 
19,10.8,4.6,7.2,7.4,5.5,13.0,12.3,7.2,8.0,4.2,10.4,19.9 
20,10.5,5.8,5.2,7.5,7.8,12.4,14.8,4.9,8.3,1.6,10.6,30.2 
21,16.5,18.7,3.3,9.7,9.9,9.6,10.1,7.3,7.5,4.5,4.8,19.3 
22,18.4,17.1,1.5,9.2,13.5,6.5,11.7,10.0,12.6,6.4,6.4,1.9 
23,12.3,6.8,3.5,7.7,17.6,10.0,9.3,7.1,8.0,6.4,3.8,3.2 
24,10.6,4.8,3.6,7.2,13.6,16.2,6.2,9.8,7.9,5.2,,20.9 
25,5.8,4.5,5.6,7.8,14.8,11.5,10.3,11.5,7.9,2.0,,22.8 
26,3.0,4.3,3.4,12.0,13.3,16.1,8.6,9.3,13.6,5.1,20.8,25.9 
27,4.4,6.6,6.1,10.8,13.5,15.0,7.4,8.4,17.9,4.5,7.1,25.3 
28,9.5,7.8,7.4,6.6,11.0,15.0,11.5,10.0,11.7,4.1,3.5,7.1 
29,13.3,,10.6,7.6,8.9,17.5,4.8,5.9,4.1,5.3,3.3,8.9 
30,25.7,,12.0,8.5,8.4,16.6,5.0,4.7,3.6,12.3,19.0,14.6 
31,19.9,,9.1,,6.5,,4.5,5.3,,19.8,,20.1
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:02:47
  
