dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,4.5,,7.1,12.3,4.7,,10.9,15.0,19.4,11.5,11.1,1.0 
2,3.8,3.1,8.3,8.3,8.5,2.0,14.7,12.3,17.9,9.0,6.3, 
3,10.7,10.6,5.3,5.5,10.2,8.2,13.5,15.3,16.9,9.1,10.5, 
4,5.6,15.1,5.6,6.0,10.0,9.8,17.6,12.2,17.3,12.4,6.5, 
5,4.3,11.8,6.2,11.0,12.8,9.6,19.7,14.6,17.0,8.4,6.8,6.6 
6,13.5,6.2,8.3,12.8,12.5,8.6,15.6,14.7,14.1,7.7,6.1,24.1 
7,22.8,19.0,3.5,7.4,10.8,9.7,12.0,14.9,13.8,7.5,4.4,28.2 
8,17.8,8.1,6.3,6.5,7.1,15.9,15.5,17.8,12.9,10.6,15.4,27.6 
9,7.0,4.3,8.9,11.1,5.7,17.1,18.2,17.8,17.7,12.8,18.2,40.1 
10,16.1,7.5,6.9,11.0,7.2,16.9,15.5,20.7,20.0,10.6,19.5,43.4 
11,21.3,16.7,5.3,9.3,10.5,11.2,9.9,19.2,15.8,12.4,14.4,40.0 
12,8.9,20.0,4.9,8.6,9.2,11.5,8.9,19.0,19.5,13.6,15.1,33.7 
13,20.4,19.0,7.4,9.4,10.2,11.8,8.5,24.4,16.5,17.2,13.4,12.3 
14,3.8,6.8,5.6,12.2,11.8,12.6,11.6,15.3,18.8,20.6,13.3,21.7 
15,15.0,4.3,7.0,11.4,6.2,11.2,9.6,16.3,16.9,20.0,11.9,11.8 
16,23.9,3.5,7.2,13.1,6.7,11.2,8.3,14.9,16.2,14.5,5.2,11.8 
17,12.9,4.3,7.0,6.5,6.9,16.6,7.8,16.8,17.3,15.6,5.2,36.0 
18,8.9,6.1,6.2,7.6,8.0,17.0,8.7,15.9,15.6,13.0,3.9,32.5 
19,11.1,4.3,4.8,7.0,6.7,10.3,11.9,17.2,17.8,17.5,2.7,16.0 
20,11.8,3.6,4.9,8.6,14.3,7.8,11.7,15.0,18.1,17.8,3.5,41.9 
21,18.3,5.8,5.6,7.3,12.5,14.1,16.2,14.0,16.5,13.5,8.1,17.0 
22,8.7,5.0,4.5,9.0,12.4,16.5,17.3,14.8,19.9,11.7,12.6,2.5 
23,21.9,8.0,4.4,8.5,12.7,14.7,17.1,15.8,19.0,16.0,21.0,21.4 
24,12.3,5.3,6.0,6.1,11.6,18.8,12.5,14.8,12.9,14.2,20.7,22.8 
25,27.0,3.0,5.5,8.3,8.3,17.3,11.5,13.8,12.0,11.5,7.3,34.5 
26,20.9,5.1,4.8,7.0,8.2,17.9,17.3,15.2,14.0,6.3,11.2,21.6 
27,14.8,4.8,5.5,9.1,9.2,14.1,13.6,13.4,15.0,12.4,8.4,12.5 
28,,8.0,6.7,8.9,8.5,7.6,16.7,15.3,21.8,9.4,9.7,37.1 
29,,,6.7,4.2,6.5,8.1,17.5,17.1,14.5,12.0,12.3,41.2 
30,,,7.0,5.3,15.5,11.2,14.3,18.5,10.9,16.8,6.5,9.3 
31,,,9.0,,8.2,,13.8,19.2,,12.2,,7.2
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:02:11
  
