dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,12,11.3,7.5,4.2,8.3,7.2,7.5,8,4.8,8.1,4.9,14
2,,8.5,10.8,4.1,6.3,7.8,10,5.8,7.3,10.2,22.7,6.8
3,,9.5,3.5,7.6,9,8.6,7.5,9,20,10,7.6,12.2
4,12,6,4.5,8.4,5.7,9.1,9.4,7,3.3,5.2,5.9,49.6
5,8.7,3.7,5,6.3,3.2,5.1,10,4.2,8.4,8.8,7,38.3
6,13,21.5,6.5,6.8,4,2,6.8,2.9,12,30,12.4,14.3
7,35.9,1.5,10.6,6.9,4,2.5,6,5,9.5,5.9,27.1,14.5
8,16.3,2.7,6.4,7.9,0.9,3.1,7,4.1,18.3,3.1,23,14.7
9,9.3,3,5.2,9,5,7,5.7,6.1,17,4,10.9,15.8
10,4.9,2.7,5,6,5.1,7.3,6.7,12,7.8,7.9,22.6,8.5
11,10.5,20.2,4.5,8.2,1.8,10.3,8,9.2,5,11.8,15,6.5
12,29.8,25.4,5.6,6.8,4,8.9,8.7,8.2,4,11,8.3,28.3
13,16.9,17.9,7,4.9,6,5.5,8.7,8,3.4,10.2,12.1,26.4
14,15.4,11.1,10.3,5.8,6.8,10.6,15,4.8,5.5,20,24,11
15,13.7,19.4,6,4,7,5.3,6.5,7.5,9,19,21,13.8
16,27.9,,9,2.1,3.3,7.5,3.4,8,3.6,6.9,21.9,26
17,28.2,13,6.3,2.9,3.7,10,6,5.8,6.3,3.6,22.3,16
18,28.2,41.6,12.7,3.4,4,8.4,2.2,7.7,4,4,32.3,21
19,31.8,8.9,7,9.3,3.7,7,1.6,11,1.9,6.2,15,20
20,17.7,15.6,10.9,6.7,5,7.7,6,5.1,3,3.1,7.4,17.2
21,11.5,18,10,5.5,5,10,7,4.1,6,4,5.2,11.6
22,32.6,10.5,10.8,2.2,3.1,10,8.4,3,6.3,12,15.9,19.6
23,35,5.4,5.8,3.2,3.3,8,8,3,8.2,10.3,36,9
24,25.4,7.3,4.6,6,10,5.2,2.8,3.6,19,8.1,46.8,31.8
25,10.7,7.2,5.1,4.8,10.6,4.7,5.1,6,6.4,3.3,48.8,19.4
26,16.3,4.1,3.6,7.5,10.6,4,14,,6.5,3.1,26.5,26.9
27,23.6,7.1,3.5,10,4,5.5,8.7,3.8,12,3,12.6,10.1
28,6.7,4,6.3,8.2,1.5,8.8,9.4,8,8.6,8.1,4.5,8
29,13.2,4.3,10.6,3.6,2.2,9,7,7.5,7.1,10.8,12.9,14.3
30,12.8,,4,10,5,6.4,4,8.3,16,14.8,18.5,3.9
31,3,,4,,7.3,,7.6,10,,5.5,,5.5
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
